Programa;Área;Linha de Pesquisa;Usuário;Segmento;Domínio;Subdomínio;Classificação;Score;Status;Tipo Classificação;Feedback;Data de Processamento
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Método dos elementos finitos;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.5;ACARE 2: Silica;0.252;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Método dos elementos finitos;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.6;ACARE 3: Cordierite;0.247;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Método dos elementos finitos;;Propulsion Systems;1.Chemical Propulsion;1.4;NASA 1: Solids;0.212;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Método dos elementos finitos;;Robotic Systems;16.Robotics Integration;16.1;NASA 2: Modularity, Commonality, and Interfaces;0.206;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Método dos elementos finitos;;Propulsion Systems;3.Aero Propulsion;3.6;NASA 3: Ramjet/Scramjet;0.2;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Otimização de projeto;Amir Antonio Martins Oliveira;;68.Optimisation of Aircraft Performance;68.3;ACARE 1: Mathematical Definition of performance objectives.;0.417;Em análise;Original;Item 3.6 da lista NASA se refere a Combustão;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Otimização de projeto;Amir Antonio Martins Oliveira;;68.Optimisation of Aircraft Performance;68.2;ACARE 2: Selection of optimisation method and strategy.;0.337;Em análise;Original;Item 3.6 da lista NASA se refere a Combustão;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Otimização de projeto;Amir Antonio Martins Oliveira;Integrated Design & Validation (IDV);90.Autonomous operation;90.3;ACARE 3: Pro-active behaviour / Goal oriented behaviour:;0.308;Em análise;Original;Item 3.6 da lista NASA se refere a Combustão;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Otimização de projeto;Amir Antonio Martins Oliveira;;42.Collaboration and Interaction;42.3;NASA 1: Goal and Task Negotiation;0.319;Em análise;Original;Item 3.6 da lista NASA se refere a Combustão;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Otimização de projeto;Amir Antonio Martins Oliveira;Software, Modeling, Simulation & Information Processing;48.Mission Architecture, System Analysis, and Concept Development;48.3;NASA 2: Tools and Methodologies for Vehicle or Concept Definition Activities;0.252;Em análise;Original;Item 3.6 da lista NASA se refere a Combustão;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Otimização de projeto;Amir Antonio Martins Oliveira;Propulsion Systems;3.Aero Propulsion;3.6;NASA 3: Ramjet/Scramjet;0.22;Em análise;Original;Item 3.6 da lista NASA se refere a Combustão;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Simulação numérica de materiais compostos laminados;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.2;ACARE 1: Sustainability of Materials;0.371;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Simulação numérica de materiais compostos laminados;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.4;ACARE 2: Environmentally Friendly Materials;0.357;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Simulação numérica de materiais compostos laminados;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.4;ACARE 3: Fibre-metal laminates;0.343;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Simulação numérica de materiais compostos laminados;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 1: Food Production, Processing and Preservation;0.364;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Simulação numérica de materiais compostos laminados;;;31.Mission Infrastructure, Sustainability and Supportability;31.5;NASA 2: Particulate Contamination Prevention and Mitigation;0.277;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Simulação numérica de materiais compostos laminados;;Exploration Destination Systems;30.In-Situ Resource Utilization;30.4;NASA 3: Resource Processing for Production of Manufacturing, Construction, and Energy Storage Feedstock Materials;0.261;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica da fratura e fadiga;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.6;ACARE 1: Cordierite;0.196;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica da fratura e fadiga;;Flight Physics (FLP);3.Airflow control;3.6;ACARE 2: MEMS;0.179;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica da fratura e fadiga;;Unmanned Aerial Systems (UAS);108.UAS & Scaled Flight Testing;108.5;ACARE 3: Subscale;0.149;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica da fratura e fadiga;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 1: Food Production, Processing and Preservation;0.134;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica da fratura e fadiga;;Guidance, Navigation & Control (GN&C);71.Navigation Technologies;71.1;NASA 2: Onboard Navigation Algorithms;0.118;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica da fratura e fadiga;;Robotic Systems;16.Robotics Integration;16.3;NASA 3: Robot Software;0.117;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica do dano;;Flight Physics (FLP);3.Airflow control;3.6;ACARE 1: MEMS;0.258;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica do dano;;Aircraft Avionics, Systems & Equipment (AVS);44.Electronics & Microelectronics for on-board systems;44.5;ACARE 2: MEMS;0.21;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica do dano;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.6;ACARE 3: Cordierite;0.182;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica do dano;;Robotic Systems;16.Robotics Integration;16.3;NASA 1: Robot Software;0.157;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica do dano;;Software, Modeling, Simulation & Information Processing;49.Ground Computing;49.7;NASA 2: High Performance Data Analytics Platform;0.143;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Mecânica do dano;;Software, Modeling, Simulation & Information Processing;49.Ground Computing;49.6;NASA 3: Cognitive Computer;0.143;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Confiabilidade estrutural;;Integrated Design & Validation (IDV);101.Methodology;101.1;ACARE 1: Validation methods, methodologies, procedures, metrics, tools. Includes studies of validation issues for new technologies and systems.;0.374;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Confiabilidade estrutural;;Integrated Design & Validation (IDV);101.Methodology;101.6;ACARE 2: Concept validation;0.369;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Confiabilidade estrutural;;Integrated Design & Validation (IDV);81.System reliability;81.1;ACARE 3: Means of compliance: Fault tolerance;0.363;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Confiabilidade estrutural;;;42.Collaboration and Interaction;42.1;NASA 1: Joint Knowledge and Understanding;0.332;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Confiabilidade estrutural;;Human Health, Life Support & Habitation;29.Human Systems Integration;29.6;NASA 2: Maintainability and Supportability;0.331;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Confiabilidade estrutural;;Materials, Structures, Mechanical Systems & Manufacturing;51.Structures;51.2;NASA 3: Design and Certification Methods;0.329;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Dinâmica de estruturas;;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.1;ACARE 1: Identification of drivers of change (technological, demographic, cultural, political);0.308;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Dinâmica de estruturas;;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.2;ACARE 2: Elaboration of basic trends (societal, cultural);0.29;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Dinâmica de estruturas;;;118.From Industry 4.0 to Industry 5.0;118.9;ACARE 3: Sustainable;0.262;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Dinâmica de estruturas;;Software, Modeling, Simulation & Information Processing;48.Mission Architecture, System Analysis, and Concept Development;48.3;NASA 1: Tools and Methodologies for Vehicle or Concept Definition Activities;0.2;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Dinâmica de estruturas;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 2: Food Production, Processing and Preservation;0.2;Em análise;Original;;
Engenharia Mecânica – POSMEC;Análise e Projeto Mecânico;Dinâmica de estruturas;;Entry, Descent & Landing;39.Vehicle Systems;39.1;NASA 3: Architecture Design and Analysis;0.194;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise exergética;;Integrated Design & Validation (IDV);87.Simulator environments & Virtual reality;87.7;ACARE 1: Task analysis;0.297;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise exergética;;Integrated Design & Validation (IDV);91.Aeronautical Software Engineering;91.2;ACARE 2: Object-oriented analysis & design;0.276;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise exergética;;Integrated Design & Validation (IDV);88.Decision Support Systems;88.3;ACARE 3: Situation assessment;0.26;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise exergética;;Software, Modeling, Simulation & Information Processing;49.Ground Computing;49.2;NASA 1: Automated Exascale Software Development Toolset;0.302;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise exergética;;Software, Modeling, Simulation & Information Processing;48.Mission Architecture, System Analysis, and Concept Development;48.2;NASA 2: Tools and Methodologies for Performing Systems Analysis;0.262;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise exergética;;Software, Modeling, Simulation & Information Processing;44.Software Development, Engineering and Integrity;44.8;NASA 3: Software Analysis and Design Tools;0.245;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise térmica de edificações;;Integrated Design & Validation (IDV);92.Development of operational research methods & tools;92.2;ACARE 1: Development of OR methods;0.365;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise térmica de edificações;;Integrated Design & Validation (IDV);91.Aeronautical Software Engineering;91.2;ACARE 2: Object-oriented analysis & design;0.296;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise térmica de edificações;;Aerostructures (AST);11.Metallic Materials & basic processes;11.10;ACARE 3: Chemical analyses;0.279;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise térmica de edificações;;Materials, Structures, Mechanical Systems & Manufacturing;51.Structures;51.4;NASA 1: Tests, Tools and Methods;0.256;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise térmica de edificações;;Communications, Navigation & Debris Tracking;17.Optical Communications;17.6;NASA 2: Optimetrics;0.255;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Análise térmica de edificações;;Software, Modeling, Simulation & Information Processing;48.Mission Architecture, System Analysis, and Concept Development;48.3;NASA 3: Tools and Methodologies for Vehicle or Concept Definition Activities;0.255;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Caracterização de rochas-reservatório de petróleo;Amir Antonio Martins Oliveira;Innovative Concepts & Scenarios (ICS);117.Breakthrough technologies;117.3;ACARE 1: Alternative fuels;0.439;Em análise;Original;Itens 3.7 e 3.12 da lista NASA se referem a Combustão e à Geração e cogeração de energia;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Caracterização de rochas-reservatório de petróleo;Amir Antonio Martins Oliveira;Propulsion (PRO);24.Performance;24.3;ACARE 2: combustion: efficiency, stability, ignition, extinction, instabilities, active control, gaseous emissions, soots;0.415;Em análise;Original;Itens 3.7 e 3.12 da lista NASA se referem a Combustão e à Geração e cogeração de energia;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Caracterização de rochas-reservatório de petróleo;Amir Antonio Martins Oliveira;Propulsion (PRO);26.Combustion;26.1;ACARE 3: combustion efficiency;0.384;Em análise;Original;Itens 3.7 e 3.12 da lista NASA se referem a Combustão e à Geração e cogeração de energia;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Caracterização de rochas-reservatório de petróleo;Amir Antonio Martins Oliveira;Propulsion Systems;3.Aero Propulsion;3.7;NASA 1: Reciprocating Internal Combustion;0.346;Aprovado;Original;Itens 3.7 e 3.12 da lista NASA se referem a Combustão e à Geração e cogeração de energia;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Caracterização de rochas-reservatório de petróleo;Amir Antonio Martins Oliveira;Ground, Test & Surface Systems;55.Infrastructure Optimization;55.4;NASA 2: Propellant Production, Storage and Transfer;0.339;Aprovado;Original;Itens 3.7 e 3.12 da lista NASA se referem a Combustão e à Geração e cogeração de energia;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Caracterização de rochas-reservatório de petróleo;Amir Antonio Martins Oliveira;Propulsion Systems;3.Aero Propulsion;3.12;NASA 3: Alternative Low Carbon Jet Fuel;0.33;Aprovado;Original;Itens 3.7 e 3.12 da lista NASA se referem a Combustão e à Geração e cogeração de energia;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Propulsion (PRO);37.Emissions pollution;37.2;ACARE 1: turbulent combustion;0.367;Aprovado;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Propulsion (PRO);26.Combustion;26.1;ACARE 2: combustion efficiency;0.303;Aprovado;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Propulsion (PRO);26.Combustion;26.4;ACARE 3: turbulent combustion modelling;0.298;Aprovado;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Flight Vehicle Systems;62.Aerosciences;62.4;NASA 1: Aeroacoustics;0.332;Aprovado;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Materials, Structures, Mechanical Systems & Manufacturing;54.Structural Dynamics;54.2;NASA 2: Vibroacoustics;0.323;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Propulsion Systems;3.Aero Propulsion;3.7;NASA 3: Reciprocating Internal Combustion;0.313;Aprovado;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Propulsion Systems;3.Aero Propulsion;3.6;NASA Manual 1: Ramjet/Scramjet;1.0;Aprovado;Manual;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Propulsion Systems;3.Aero Propulsion;3.12;NASA Manual 2: Alternative Low Carbon Jet Fuel ;1.0;Aprovado;Manual;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Combustão;Amir Antonio Martins Oliveira;Innovative Concepts & Scenarios (ICS);117.Breakthrough technologies;117.3;ACARE Manual 1: Alternative fuels;1.0;Aprovado;Manual;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Condicionamento de ar;Amir Antonio Martins Oliveira;Human Factors (HFA);112.Selection & Training;112.5;ACARE 1: Training of ATM personnel (methods, facilities, evaluation);0.347;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Condicionamento de ar;Amir Antonio Martins Oliveira;Human Factors (HFA);112.Selection & Training;112.2;ACARE 1: Training of ATM personnel (methods, facilities, evaluation);0.321;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Condicionamento de ar;Amir Antonio Martins Oliveira;Integrated Design & Validation (IDV);76.System Certification;76.5;ACARE 3: Improvement of existing rules and regulations (e.g. Cross-wind criteria, contaminated runway criteria), in the future particularly relevant to ATM in view of complete lack of certification of ATM systems);0.306;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Condicionamento de ar;Amir Antonio Martins Oliveira;Aircraft Avionics, Systems & Equipment (AVS);59.Environmental control System;59.6;ACARE Manual 1: Cabin ventilation and ducting system - flow patterns analysis, tools and modelling, zonal distribution, avoidance of draughts and stagnant areas;1.0;Aprovado;Manual;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Condicionamento de ar;Amir Antonio Martins Oliveira;Aircraft Avionics, Systems & Equipment (AVS);59.Environmental control System;59.8;ACARE Manual 2: Air quality monitoring and analysis - development of comfort index ;1.0;Aprovado;Manual;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Condicionamento de ar;Amir Antonio Martins Oliveira;;6.Avionics Systems and Subsystems;6.3;NASA 1: Vision and Virtual/Augmented Reality Avionics;0.314;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Condicionamento de ar;Amir Antonio Martins Oliveira;Entry, Descent & Landing;39.Vehicle Systems;39.1;NASA 2: Architecture Design and Analysis;0.295;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Condicionamento de ar;Amir Antonio Martins Oliveira;;75.Technologies for Aircraft Trajectory Generation, Management, and Optimization for Airspace Operations;75.2;NASA 3: Tactical Management of Air Vehicles;0.293;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Controle térmico de satélites;;;42.Navigation / Flight Management / Autoland;42.2;ACARE 1: Satellite-based aircraft navigation and guidance systems (e.g. GPS, differential GPS, GLONASS);0.368;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Controle térmico de satélites;;Propulsion (PRO);36.Computational Methods;36.9;ACARE 2: Complex applications, system analysis, control;0.323;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Controle térmico de satélites;;;42.Navigation / Flight Management / Autoland;42.4;ACARE 3: Digital altitude control systems (radar altimeters etc);0.289;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Controle térmico de satélites;;Flight Vehicle Systems;63.Flight Mechanics;63.1;NASA 1: Trajectory Design and Analysis;0.312;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Controle térmico de satélites;;Guidance, Navigation & Control (GN&C);71.Navigation Technologies;71.6;NASA 2: Rendezvous, Proximity Operations, and Capture Trajectory Design and Orbit Determination;0.269;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Controle térmico de satélites;;Propulsion Systems;1.Chemical Propulsion;1.2;NASA 3: Earth Storable;0.262;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Ebulição e condensação;;Flight Mechanics (FLM);70.Environmental Hazard Analysis;70.6;ACARE 1: Icing conditions / heavy precipitation.;0.27;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Ebulição e condensação;;Aircraft Avionics, Systems & Equipment (AVS);59.Environmental control System;59.1;ACARE 2: Provision of fresh air - bleed air, ozone converter, air conditioning/cooling packs (heat exchangers, turbines, compressors, air mix chambers);0.268;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Ebulição e condensação;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.5;ACARE 3: Silica;0.256;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Ebulição e condensação;;Ground, Test & Surface Systems;55.Infrastructure Optimization;55.1;NASA 1: Natural and Induced Environment Characterization and Mitigation;0.207;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Ebulição e condensação;;Communications, Navigation & Debris Tracking;17.Optical Communications;17.5;NASA 2: Atmospheric Mitigation;0.202;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Ebulição e condensação;;Propulsion Systems;1.Chemical Propulsion;1.7;NASA 3: Cold Gas;0.194;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Energia solar;;Propulsion (PRO);28.Heat Transfer;28.3;ACARE 1: radiation;0.294;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Energia solar;;Aircraft Operations (AOP);106.Airports;106.4;ACARE 2: Meteorological;0.222;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Energia solar;;Propulsion (PRO);31.Auxiliary Power Unit;31.1;ACARE 3: Increasing power per kilogram, decreasing fuel consumption, reducing costs through various ways;0.221;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Energia solar;;Propulsion Systems;4.Advanced Propulsion;4.1;NASA 1: Solar Sails;0.465;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Energia solar;;;8.Power Generation and Energy Conversion;8.1;NASA 2: Photovoltaic;0.406;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Energia solar;;;32.Mission Operations and Safety;32.5;NASA 3: Planetary Protection;0.332;Em análise;Original;;
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento e termodinâmica de misturas;Amir Antonio Martins Oliveira;Aircraft Avionics, Systems & Equipment (AVS);59.Environmental control System;59.6;ACARE 1: Cabin ventilation and ducting system - flow patterns analysis, tools and modelling, zonal distribution, avoidance of draughts and stagnant areas;0.248;Em análise;Original;Os itens ACARE 59.6 e 59.8 estariam mais adequados dentro da Linha de Pesquisa de Condicionamento de ar.;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento e termodinâmica de misturas;Amir Antonio Martins Oliveira;Aircraft Avionics, Systems & Equipment (AVS);60.Water and waste systems;60.5;ACARE 2: Cabin waste - solid/semi-solid/liquid, storage, compaction, avoidance of smells;0.232;Em análise;Original;Os itens ACARE 59.6 e 59.8 estariam mais adequados dentro da Linha de Pesquisa de Condicionamento de ar.;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento e termodinâmica de misturas;Amir Antonio Martins Oliveira;Aircraft Avionics, Systems & Equipment (AVS);59.Environmental control System;59.8;ACARE 3: Air quality monitoring and analysis - development of comfort index;0.225;Em análise;Original;Os itens ACARE 59.6 e 59.8 estariam mais adequados dentro da Linha de Pesquisa de Condicionamento de ar.;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento e termodinâmica de misturas;Amir Antonio Martins Oliveira;Human Health, Life Support & Habitation;25.Extravehicular Activity Systems;25.4;NASA 1: Decompression Sickness Mitigation;0.233;Em análise;Original;Os itens ACARE 59.6 e 59.8 estariam mais adequados dentro da Linha de Pesquisa de Condicionamento de ar.;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento e termodinâmica de misturas;Amir Antonio Martins Oliveira;Communications, Navigation & Debris Tracking;17.Optical Communications;17.6;NASA 2: Optimetrics;0.166;Em análise;Original;Os itens ACARE 59.6 e 59.8 estariam mais adequados dentro da Linha de Pesquisa de Condicionamento de ar.;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento e termodinâmica de misturas;Amir Antonio Martins Oliveira;Human Health, Life Support & Habitation;29.Human Systems Integration;29.3;NASA 3: Habitability and Environment;0.163;Em análise;Original;Os itens ACARE 59.6 e 59.8 estariam mais adequados dentro da Linha de Pesquisa de Condicionamento de ar.;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento de fluidos em meios porosos;;Aerostructures (AST);11.Metallic Materials & basic processes;11.9;ACARE 1: Microscopical analyses;0.348;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento de fluidos em meios porosos;;Flight Physics (FLP);5.Wing Design;5.1;ACARE 2: Computational Fluid Dynamics;0.288;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento de fluidos em meios porosos;;Flight Physics (FLP);3.Airflow control;3.1;ACARE 3: Computational Fluid Dynamics;0.285;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento de fluidos em meios porosos;;Flight Vehicle Systems;62.Aerosciences;62.5;NASA 1: Propulsion Flowpath and Interactions;0.201;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento de fluidos em meios porosos;Amir Antonio Martins Oliveira;Flight Vehicle Systems;62.Aerosciences;62.7;NASA 2: Computational Fluid Dynamics (CFD) Technologies;0.189;Aprovado;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Escoamento de fluidos em meios porosos;Amir Antonio Martins Oliveira;Propulsion Systems;1.Chemical Propulsion;1.5;NASA 3: Hybrids;0.183;Aprovado;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Geração e cogeração de energia;;Human Factors (HFA);109.Human Factors Integration, Man-machine Interface;109.4;ACARE 1: Development of methods, tools and processes to support the integration of people with complex systems;0.209;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Geração e cogeração de energia;;Human Factors (HFA);110.Human Information Processing;110.4;ACARE 2: Cognitive aspects of operator performance;0.198;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Geração e cogeração de energia;;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.2;ACARE 3: Elaboration of basic trends (societal, cultural);0.195;Em análise;Original;;16/07/2025 13:01
Engenharia Mecânica – POSMEC;Engenharia e Ciências Térmicas;Geração e cogeração de energia;;;35.In-Situ Instruments and Sensors;35.6;NASA 1: Extreme Environments Related to Critical System Health Management;0.21;Em análise;Original;;16/07/2025 13:01
